date,state,county,fips,cases,deaths,population,daily_cases,daily_deaths
2020-04-16,Georgia,Hall,13139,526,5,195961,124,0
2020-04-17,Georgia,Cobb,13067,1085,51,745057,71,2
2020-04-17,Georgia,DeKalb,13089,1366,23,743187,106,2
2020-04-17,Georgia,Fulton,13121,2037,74,1021902,92,8
2020-04-17,Georgia,Gwinnett,13135,1037,36,902298,120,4
2020-04-17,Georgia,Hall,13139,605,6,195961,79,1
2020-04-18,Georgia,Cobb,13067,1104,51,745057,19,0
2020-04-18,Georgia,DeKalb,13089,1408,24,743187,42,1
2020-04-18,Georgia,Fulton,13121,2065,74,1021902,28,0
2020-04-18,Georgia,Gwinnett,13135,1059,36,902298,22,0
2020-04-18,Georgia,Hall,13139,607,6,195961,2,0
2020-04-19,Georgia,Cobb,13067,1148,54,745057,44,3
2020-04-19,Georgia,DeKalb,13089,1473,24,743187,65,0
2020-04-19,Georgia,Fulton,13121,2131,75,1021902,66,1
2020-04-19,Georgia,Gwinnett,13135,1124,38,902298,65,2
2020-04-19,Georgia,Hall,13139,625,6,195961,18,0
2020-04-20,Georgia,Cobb,13067,1196,56,745057,48,2
2020-04-20,Georgia,DeKalb,13089,1520,26,743187,47,2
2020-04-20,Georgia,Fulton,13121,2198,80,1021902,67,5
2020-04-20,Georgia,Gwinnett,13135,1181,42,902298,57,4
2020-04-20,Georgia,Hall,13139,702,9,195961,77,3
2020-04-21,Georgia,Cobb,13067,1230,60,745057,34,4
2020-04-21,Georgia,DeKalb,13089,1563,30,743187,43,4
2020-04-21,Georgia,Fulton,13121,2206,83,1021902,8,3
2020-04-21,Georgia,Gwinnett,13135,1238,44,902298,57,2
2020-04-21,Georgia,Hall,13139,756,9,195961,54,0
2020-04-22,Georgia,Cobb,13067,1272,63,745057,42,3
2020-04-22,Georgia,DeKalb,13089,1609,31,743187,46,1
2020-04-22,Georgia,Fulton,13121,2255,85,1021902,49,2
2020-04-22,Georgia,Gwinnett,13135,1273,46,902298,35,2
2020-04-22,Georgia,Hall,13139,907,9,195961,151,0
2020-04-23,Georgia,Cobb,13067,1326,66,745057,54,3
2020-04-23,Georgia,DeKalb,13089,1689,34,743187,80,3
2020-04-23,Georgia,Fulton,13121,2436,88,1021902,181,3
2020-04-23,Georgia,Gwinnett,13135,1351,46,902298,78,0
2020-04-23,Georgia,Hall,13139,963,9,195961,56,0
