X,lon,lat,alt,water,South
32083,-8.38741972111166,45.1866933490644,4894,1,0
27574,131.817110488191,4.86093895400011,4426,1,0
2572,14.7073745448142,70.8671225770066,2187,1,0
14995,-94.5698150340468,8.55103750882143,3641,1,0
2844,-106.278749378398,10.5497885588436,3411,1,0
2859,-24.7540654242039,50.5677949800959,3543,1,0
48662,159.105344675481,6.1163968694232,4253,1,0
8219,94.5874783862382,12.7788735821555,942,1,0
47865,139.772248221561,22.999242427069,4493,1,0
42552,-151.090852757916,71.1537335702899,38,1,0
48756,-31.891143489629,5.28947373150897,3381,1,0
47931,146.680778022856,32.1693244409389,5976,1,0
15150,127.584906192496,14.3321037256794,5274,1,0
43164,141.902798088267,16.2403714122908,4461,1,0
6627,-90.0599288474768,13.6492605767799,90,1,0
34802,-177.590002929792,54.1674695057516,3731,1,0
27322,171.101536815986,7.49745707395677,3883,1,0
32234,-5.98163011483848,48.4353228582463,113,1,0
45008,-65.7952080667019,31.3271266513795,4752,1,0
13366,-146.74403976649,19.1311975092779,5307,1,0
35047,177.404387611896,51.8700217471661,82,1,0
25209,76.662721876055,3.50902861428688,3518,1,0
36710,-38.8517913781106,12.310802067072,4872,1,0
42303,-15.2426639199257,67.7712268507225,965,1,0
4949,57.7488016337156,5.28488116663772,4615,1,0
35202,161.204162081704,8.19251198870938,4738,1,0
46376,136.832433901727,40.9743335383956,3214,1,0
6971,-166.873283078894,44.4519256190261,5620,1,0
45574,118.258854299784,12.1409451676094,2701,1,0
30067,4.10941720940173,77.3598952335849,2746,1,0
49355,58.4267630707473,10.097720520947,3791,1,0
22236,-165.970699125901,41.325479428063304,5566,1,0
30449,176.965041104704,19.3320223914597,4391,1,0
20230,-155.707834856585,3.1835912116725398,4720,1,0
38831,73.8705147150904,3.39173535394264,2406,1,0
45344,120.175751633942,24.8098903205704,60,1,0
36662,-164.147887481377,7.89440148148147,4829,1,0
23097,-145.686449361965,56.6769341999258,3979,1,0
15446,147.662840271369,1.22782575917326,4470,1,0
11521,-45.729452976957,18.2156569517932,3130,1,0
46576,-136.271644681692,56.3899341855939,2181,1,0
20847,108.951051067561,17.9937865379824,51,1,0
39104,-149.261441621929,4.21401337338008,4925,1,0
19510,-130.452898163348,21.6981735060384,4783,1,0
24185,-47.6155674364418,53.4364384470237,3948,1,0
43838,-131.66884560138,1.04167604052804,4362,1,0
49738,125.131932171062,16.2156477630203,3380,1,0
45604,-40.4529178608209,15.2408500321516,5331,1,0
11665,-57.7647218015045,25.5918349341576,6124,1,0
48674,18.6861121840775,31.114773774961,688,1,0
29612,-141.037289891392,27.9765679072992,4936,1,0
33180,112.402845863253,14.0657309972936,1521,1,0
12335,-151.099803876132,50.1960231732305,4977,1,0
34639,64.5791824255139,12.1012068323867,4215,1,0
41268,-78.481105780229,72.6925650584034,611,1,0
17426,-144.602289162576,23.5753943806168,5170,1,0
48127,-140.822078157216,6.79152317515261,5072,1,0
29431,-95.9951902739704,9.23840734963268,3749,1,0
17357,125.501467399299,15.2068308517638,5021,1,0
15405,-123.666095556691,85.5622918923265,1522,1,0
43979,91.5830133575946,17.502952211076,2219,1,0
12896,107.678599879146,1.50391254945627,47,1,0
4773,53.9910004846752,6.44070218243951,5193,1,0
9814,-93.7899142317474,22.5519609806843,3723,1,0
37381,169.126002956182,30.9666408003214,5645,1,0
9817,127.260316740721,4.41288700185309,1551,1,0
7600,-67.8479696810246,41.2401992562934,40,1,0
35187,-159.700688542798,39.2590344903365,5582,1,0
43271,158.453210815787,23.8502258873137,5391,1,0
5329,15.4928735364228,39.9889213297242,554,1,0
28201,-81.0586202144623,16.774996782521,526,1,0
18666,94.6316552069038,15.2261819260033,34,1,0
4736,-40.9409946575761,28.8792282797312,3538,1,0
40061,-50.0361796002835,30.5352322351161,4692,1,0
20954,161.410610368475,46.4828372162063,5618,1,0
27310,152.294133547693,37.3619753879127,5790,1,0
4453,-145.067492499948,13.7047601311823,5104,1,0
10745,80.0137796066701,0.401481671496978,4654,1,0
48056,57.4070711899549,14.3277844049338,2974,1,0
49810,161.395749840885,10.8002829957646,2007,1,0
36719,-133.234773371369,9.67603055270089,4920,1,0
47855,-127.492275768891,47.3876006734723,2633,1,0
11570,-65.8681942429394,12.9872076851017,4904,1,0
31931,-84.8764449264854,26.8616968173051,473,1,0
3498,178.455875907093,20.3963001592411,4653,1,0
7606,-18.6358407977968,8.57819495046533,4772,1,0
32029,-22.4422569014132,49.2826459665271,4305,1,0
13854,-69.4667029380798,17.5023295579066,4359,1,0
22353,-53.0136088002473,11.5641550685231,4955,1,0
9346,-176.09836153686,68.5117481532161,40,1,0
48716,-34.0360952261835,51.782405041502,3357,1,0
11861,61.4442389924079,76.6945163517942,184,1,0
29396,-17.070666141808,7.91299504756439,4815,1,0
6237,161.057497551665,2.28607646982668,3598,1,0
48182,-19.799651876092,9.69509689942432,4582,1,0
41171,-150.913181975484,37.2969713895673,5478,1,0
32952,137.582564111799,56.0556792160745,56,1,0
31042,-54.4395177997649,30.5503633008342,5609,1,0
35213,175.165851004422,28.6671363307049,5392,1,0
18098,-92.295524245128,-0.827872946877344,3186,1,1
48821,-21.4419502671808,-23.0807467179728,5082,1,1
13177,98.4200959838927,-4.79802139996403,4945,1,1
35472,-167.027744622901,-30.7495970441615,5331,1,1
48892,-162.527005104348,-25.2975898720997,5408,1,1
45828,-145.298573607579,-6.94162473985501,4938,1,1
7942,-78.995473086834,-25.0800497830733,4412,1,1
22992,35.1856951229274,-46.2178407150516,1132,1,1
9663,24.0928709786385,-55.914427758796,3753,1,1
15815,-50.5664270929992,-67.8069900222563,3377,1,1
26249,111.865626638755,-19.5094979115634,2093,1,1
13612,-52.8716687299311,-34.5436736243222,62,1,1
16423,113.67690612562,-50.2694764047459,3042,1,1
26529,169.864179063588,-46.5070092380461,67,1,1
37133,-0.460945330560207,-4.2238080187569,4124,1,1
18747,162.65608641319,-8.71398310269114,2872,1,1
17163,-23.7298801727593,-22.5317292631107,5389,1,1
28627,149.372167736292,-15.5476285586374,969,1,1
19301,-97.5340584944934,-33.2152606246134,3494,1,1
28458,-76.0525188222528,-15.3177640483269,4108,1,1
14100,-118.823093427345,-55.8657844177635,3208,1,1
40464,-114.261722238734,-30.6246295875709,3248,1,1
14475,-113.91090807505,-32.5177704231088,3015,1,1
36241,174.694839594886,-10.4659699981565,5002,1,1
11263,10.5651695095003,-62.0734891837518,4863,1,1
35627,-175.909047620371,-58.294262111055,4458,1,1
33385,52.1103512775153,-51.2923686343813,4741,1,1
19156,152.433069460094,-34.3712563323996,4833,1,1
44478,-31.6961070802063,-2.31734383586187,4539,1,1
43670,77.8676175232977,-28.3410412380188,3934,1,1
19701,15.1082684844732,-54.7003632211501,4523,1,1
19005,111.113363234326,-56.3855365432049,4246,1,1
40471,-142.610865561292,-68.0717535050206,4278,1,1
45819,149.634202960879,-41.6028942759992,3948,1,1
46369,28.7013956531882,-64.0091319020314,5103,1,1
18713,-164.147461513057,-62.4173370659076,2914,1,1
14306,-3.44193591736257,-50.4906575800683,2912,1,1
